name,actor,role,cast,episode_key
Thomas Morrow,Alan Dale,Director of NCIS.,Recurring_Cast,1x1
Gerald Jackson,Pancho Demmings,Assistant Medical Examiner for NCIS who helps Ducky with various tasks.,Guest_Cast,1x1
Tobias Fornell,Joe Spano,Agent with the FBI.,Guest_Cast,1x1
William Baer,Gerry Becker,"United States Secret Service and head of the Presidential Protection Detail. Codename is ""Slammer"".",Guest_Cast,1x1
Elmo Poke,Gary Grubbs,"Local Coroner of Wichita, KS and a friend of Ducky's.",Guest_Cast,1x1
Ray Trapp,Gerald Downey,Commander in the United States Navy and the Football Carrier for Air Force One.,Guest_Cast,1x1
Timothy Kerry,Dane Northcutt,Major in the United States Marine Corps.,Guest_Cast,1x1
Burger,Michael Adler,President's Physician and also a Captain in the United States Navy.,Guest_Cast,1x1
Leonard Rish,Robert Bagnell,Reporter and also a terrorist who was given the task of assassinating the President but was later shot dead by Gibbs when he resisted arrest.,Guest_Cast,1x1
Carl Pritchard,Dwayne Macopson,Major in the United States Marine Corps and the new Football Carrier in the aftermath of Navy Commander Ray Trapp's death.,Guest_Cast,1x1
Mark,Lawrence Pressman,Director of the United States Secret Service.,Guest_Cast,1x1
Charlie,Gregory Itzin,Federal Bureau of Investigation.,Guest_Cast,1x1
George W. Bush,Steve Bridges,President of the United States.,Guest_Cast,1x1
Bowman,Jeremy Overstreet,Federal Agent with an unidentified federal agency.,Guest_Cast,1x1
Andy Kochofis,Asante Jones,Detective and Homicide Investigator with Metro P.D.,Guest_Cast,1x1
Dennis,Michael Maize,TSA Guard assigned to the Ronald Reagan Washington National Airport in Washington D.C.,Guest_Cast,1x1
Secret Service Agent 1,Ron Brosh,United States Secret Service. Uncredited role.,Guest_Cast,1x1
Secret Service Agent 2,Michael Calder,United States Secret Service. Uncredited role.,Guest_Cast,1x1
NCIS Agent 1,Paul Majors,Agent with NCIS. Uncredited role.,Guest_Cast,1x1
FBI Agent,Gerald McCullouch,Agent with the Federal Bureau Investigation.,Guest_Cast,1x1
Bobby,Richard Anthony Crenna,Chief Steward Aboard Air Force One.,Guest_Cast,1x1
Medic,Jennifer Weston,Dr. Burger's assistant. Uncredited role.,Guest_Cast,1x1
Doris McMillon,Doris E. McMillon,Reporter for CBS.,Guest_Cast,1x1
Stan,Scott Fishkind,Rish's Cameraman who accompanied Rish to Wichita. Uncredited role.,Guest_Cast,1x1
Leroy Jethro Gibbs,Mark Harmon,NCIS Special Agent in charge of the main NCIS Major Case Response Team.,Series_Regulars,1x1
Caitlin Todd,Sasha Alexander,"A Secret Service Agent assigned to the Presidential Protection Detail on Air Force One. Later presumably resigns from the Secret Service for good at the end of the episode, eventually joining NCIS and as a result, she becomes DiNozzo's partner and also the Junior Agent of the team.",Series_Regulars,1x1
Anthony DiNozzo Junior,Michael Weatherly,The Senior Agent of the main NCIS Major Case Response Team and also the second-in-command.,Series_Regulars,1x1
Abigail Sciuto,Pauley Perrette,NCIS's Chief Forensic Scientist.,Series_Regulars,1x1
Donald Mallard,David McCallum,NCIS's Chief Medical Examiner.,Series_Regulars,1x1
Gerald Jackson,Pancho Demmings,NCIS Assistant Medical Examiner.,Recurring_Cast,1x2
Bud Roberts Jr.,Patrick Labyorteaux,A JAG lawyer and also a Lieutenant in the United States Navy.,Guest_Cast,1x2
Faul,James MacDonald,A Captain in the United States Marine Corps.,Guest_Cast,1x2
Gregory Nutt,Keith Diamond,Sergeant in the United States Marine Corps.,Guest_Cast,1x2
Tuers,Lee Reherman,Sergeant in the United States Marine Corps.,Guest_Cast,1x2
Larry Fuentes,Brian Patrick Wade,"Sergeant in the United States Marine Corps, the husband of Rosemarie Fuentes and also the father of Billy Fuentes; the victim.",Guest_Cast,1x2
Rosemarie Fuentes,Christina Souza,Marine Sergeant Larry Fuentes's wife/widow and Billy Fuentes's mother.,Guest_Cast,1x2
Billy Fuentes,Austin Marques,Marine Sergeant Larry Fuentes's young son.,Guest_Cast,1x2
Paul Dafelmair,Rick Pasqualone,Corporal in the United States Marine Corps.,Guest_Cast,1x2
Dave Ramsey,Dave Power,Corporal in the United States Marine Corps.,Guest_Cast,1x2
Paul Brinkman,Chaney Kley,Corporal in the United States Marine Corps.,Guest_Cast,1x2
Sarah Schaefer,Julie Gonzalo,Jimmy's girlfriend and also a witness.,Guest_Cast,1x2
Jimmy,Brandon Davis,Sarah's boyfriend and also a witness.,Guest_Cast,1x2
Leroy Jethro Gibbs,Mark Harmon,NCIS Special Agent in charge of the main NCIS Major Case Response Team.,Series_Regulars,1x2
Caitlin Todd,Sasha Alexander,NCIS Special Agent as well as Tony DiNozzo's partner.,Series_Regulars,1x2
Anthony DiNozzo Junior,Michael Weatherly,The Senior Agent of the main NCIS Major Case Response Team and also the second-in-command.,Series_Regulars,1x2
Abigail Sciuto,Pauley Perrette,NCIS's Chief Forensic Scientist.,Series_Regulars,1x2
Donald Mallard,David McCallum,NCIS's Chief Medical Examiner.,Series_Regulars,1x2
Thomas Morrow,Alan Dale,Director of NCIS.,Recurring_Cast,1x3
