Season,Episode,Title,Airdate,Synopsis,Director,Writers
1,1,Yankee White,"September 23, 2003.","When a Navy Commander collapses and dies after having lunch with the President of the United States on board Air Force, the NCIS team investigate in order to determine if the death was accidental or something far more sinister.",Donald P. Bellisario,Donald P. Bellisario & Don McGill
1,2,Hung Out to Dry,"September 30, 2003.","When a Marine crash-lands through an SUV during a night-training exercise, the initial cause is blamed on a faulty parachute. As the case progresses however, it appears his chute was rigged to fail with the NCIS team suspecting his death could be murder that leads to a drug smuggling ring.",Alan J. Levi,Don McGill
1,3,Seadog,"October 7, 2003.","When the body of a Navy Commander washes up on a beach along with the bodies of two drug dealers, the NCIS team investigate and soon discover it might be linked to a potential attack against the United States which if successful could leave the country without any electricity.",Bradford May,Donald P. Bellisario & John C. Kelley
1,4,The Immortals,"October 14, 2003.","While on vacation with his friends, a teenager while swimming finds the body of a young Naval Seaman wearing dress whites as well an officer's ceremonial sword and chains around his waist. The NCIS team then head to the USS Foster to investigate and during the investigation, discover some disturbing secrets about the victim as well as evidence of a potentially devastating biological attack against the Foster that puts the lives of its crew and also those of the NCIS team in grave danger.",Alan J. Levi,Darcy Meyers
1,5,The Curse,"October 28, 2003.","While in a forest, a hunter discovers a cargo pod containing the mummified remains of a lieutenant commander. The NCIS team investigate and discover that the officer's disappearance is apparently connected to a cold case where ten years ago and after vanishing without a trace, the commander in question was dishonorably discharged from the Navy for allegedly stealing one million dollars from the ship he was serving prior to his death. It now falls to the NCIS team to determine once and for all if the commander was really guilty or if he was framed by someone else.",Terrence O'Hara,Don McGill & Jeff Vlaming & Donald P. Bellisario
1,6,High Seas,"November 4, 2003.","Two Navy sailors, both of whom are serving on the USS Enterprise overdose on meth, prompting the NCIS team to investigate. When they arrive on the ship to investigate further, both sailors insist that they've never touched the drug despite their tests clearly saying otherwise. With the help of the Agent Afloat who once worked for Gibbs, NCIS dig deeper to get to the truth but things change when the first sailor dies under mysterious circumstances, the case is later upgraded to a murder investigation with Gibbs believing that a senior officer on the ship is knowingly jeopardizing the lives of his crew by secretly giving them performance-enhancing drugs.",Dennis Smith,Jeff Vlaming & Larry Moskowitz
1,7,Sub Rosa,"November 18, 2003.","At the Norfolk Naval Base, two workers later discover the partially dissolved corpse of a submariner in a barrel of acid, prompting the NCIS team to be called to the scene where they work with the Base Agent in charge to investigate the circumstances surrounding the submariner's death. Gibbs soon suspects that the killer is on board one of the submarines under the victim's own name, forcing himself and Kate into a race against time to find and identify the impostor before a potentially devastating biological attack occurs.",Michael Zinberg,George Schenck & Frank Cardea
1,8,Minimum Security,"November 25, 2003.","After being nearly hit by a car, a biker couple discover the body of a translator. During the autopsy in the NCIS morgue, Ducky and Gerald discover that the victim has emeralds in his system. This eventually sends the NCIS team deep into the heart of Gitmo or Guantanamo Bay, Cuba where they meet an NCIS agent who may or not be involved in a possible terrorist plot concerning a prisoner at the camp and also a member of the family of Osama Bin Laden.",Ian Toynton,Donald P. Bellisario & Philip DeGuere Jr
1,9,Marine Down,"December 16, 2003.","During a funeral, a woman is left stunned when she gets a phone call from her supposedly dead Marine husband. The NCIS team investigate the circumstances of the call and soon discover that not only is a rogue CIA agent involved and also responsible for the series of events that are threatening to jeopardize the entire case but that he may have taken another Marine hostage.",Dennis Smith,John C. Kelley
1,10,Left for Dead,"January 6, 2004.","NCIS investigate when a young woman digs herself out of a grave in Rock Creek Park and claims that there's a bomb on board a Navy ship. As they work the case, Kate develops an emotional bond with the woman, unaware that the woman knows more than she's letting on.","James Whitmore, Jr",Don McGill & Donald P. Bellisario
1,11,Eye Spy,"January 13, 2004.","While illegally using satellite technology to spy on a woman who's nude sunbathing, two operators witness the death of a Naval Commander. It now falls to the NCIS team to find out who is responsible for the Commander's death and also to recover the missing sonar gun which was with the victim when he was murdered.",Alan J. Levi,George Schenck & Frank Cardea & Dana Coen
1,12,My Other Left Foot,"February 3, 2004.","NCIS investigate when the leg of a Marine is discovered in a dumpster in the small town of Clarksburg, West Virginia and they soon meet a mother and her daughter, both of whom are hiding a secret concerning the dead Marine in question.",Jeff Woolnough,Jack Bernstein
1,13,"One Shot, One Kill","February 10, 2004.","A sniper is targeting and shooting various Marine recruiters all over the D.C. area, forcing the NCIS team in a race against time to stop the sniper before more people die.",Peter Ellis,Gil Grant
1,14,The Good Samaritan,"February 17, 2004.","The body of a nude, bound Lieutenant commander is discovered by the roadside in Grayson County, forcing the local county sheriff to call NCIS to help her investigate the death. In the process of investigating the case, the team soon discover that they're not only dealing with just one serial killer but also two.",Alan J. Levi,Jack Bernstein
1,15,Enigma,"February 24, 2004.",NCIS investigate when Gibbs's former C.O and a Marine Colonel arrives in the U.S. from Iraq but the team soon discover that nothing is what it seems and that there may even be a conspiracy behind the death of an FBI agent.,Thomas J. Wright,John C. Kelley
1,16,Bête Noire,"March 2, 2004.","A normal day of the NCIS team which involves doing paperwork associated with an old case takes a turn when a mysterious terrorist invades the morgue after hiding in a body bag. The terrorist takes Ducky, Gerald and eventually Kate hostage, triggering a hostage situation with the terrorist having a simple demand in mind: he wants the dead terrorist's body and personal effects. It now falls to Gibbs, Tony and Abby to come up with a way to get their colleagues out safely and hopefully before it's too late.",Peter Ellis,Donald P. Bellisario
1,17,The Truth Is Out There,"March 16, 2004.","The NCIS team investigate when a Petty Officer is found dead at an underground rave party. During a search of the victim's room, they discover money, leading them to suspect he was taking bribes with Gibbs believing the victim's fellow Naval officers were also involved but while forensic evidence links the group to the crime scene, they're not willing to talk, forcing the team to get creative to uncover the identity of the killer.",Dennis Smith,Jack Bernstein
1,18,UnSEALeD,"April 6, 2004.",The NCIS team investigate when a former Navy SEAL who was jailed after being convicted of killing his wife and an unnamed cable repairman escapes from Leavenworth with the team soon discovering that the SEAL is in fact after the true killer.,Peter Ellis,Thomas L. Moran
1,19,Dead Man Talking,"April 27, 2004.","NCIS is left horrified when one of their own is murdered while working on a case. Gibbs and the NCIS Major Case Response Team who are equally grief-stricken and devastated take over the handling of the case while attempting to find the killer with a search soon leading them to a woman who the team believe might be linked to the thief who stole from the Navy prior to his death in a car accident. Meanwhile, Abby soon makes a shocking discovery and the team realize that there's more to the woman than meets the eye.",Dennis Smith,George Schenck & Frank Cardea
1,20,Missing,"May 4, 2004.","While at a country bar, a Marine disappears under mysterious circumstances, prompting NCIS to be called to investigate. The case then takes an abrupt turn when the team learn that several other fellow Marines from the missing Marine's unit have also vanished without a trace. When skeletal remains of one of the Marines who disappeared are found chained in a sewer pipe in Old Town Alexandria, Gibbs and the team begin to suspect that the unit's C.O is the one responsible for the disappearances and eventual deaths. But when Tony goes missing after having been at the same country bar that the missing Marine was at, Gibbs and Kate with McGee, Abby and Ducky's help race against the clock to rescue him and find the missing Marine before it's too late. However, an unlikely figure emerges as the true mastermind behind the crime and they're concealing a horrifying secret as to what really happened in the Philippines in 1991 which is also connected to the missing Marine and his unit.",Jeff Woolnough,John C. Kelley
1,21,Split Decision,"May 11, 2004.","While filming a stunt, a group of teenagers discover the body of a dead Marine and the team's investigation leads them to the realization that weapons that were supposed to have been destroyed at a Marine are being smuggled out and then illegally sold on the black market. With the help of an ATF agent, Gibbs sets out to uncover the truth and find the one responsible for the Marine's death. In the meantime, Ducky meets his new Medical Examiner assistant.",Terrence O'Hara,Bob Gookin
1,22,A Weak Link,"May 18, 2004.","During a training mission, a U.S Navy SEAL Lieutenant falls to his death, prompting the NCIS team to be called out to investigate. What's originally assumed to be an accidental death due to a rope malfunction soon turns into a possible murder case when Abby finds that the link attaching the victim to his rappelling rope was actually composed of a weaker material than the original factory standard issue. The team are pressured by the CIA and one of its agents to wrap up the investigation within thirty-eight hours or a highly classified hostage rescue mission will be scrubbed. Gibbs soon discovers that the victim had a secret and suspects that the victim's wife is hiding something.",Alan J. Levi,Jack Bernstein
1,23,Reveille,"May 25, 2004.","After months of getting nowhere, Gibbs's obsession to uncover the true identity of the terrorist who triggered the hostage situation in Bête Noire (episode) begins reaching such alarmingly high heights to such an extent that even Kate and eventually Tony become concerned. However, on her way back to NCIS Headquarters after lunch with Ducky and Tony, Kate is later kidnapped and reunited with the mysterious terrorist. She soon discovers that his group of fellow terrorists including one who happens to be DiNozzo's new crush are busy planning a terrorist attack and their targets are the U.S. President and the Israeli Prime Minister.",Thomas J. Wright,Donald P. Bellisario
2,1,See No Evil,"September 28, 2004.","As the NCIS staff and personnel struggle to adjust to a heatwave which is not helped by the fact that the air conditioning's broken, Gibbs and the team investigate a case where an eight-year-old blind girl and her mother have been kidnapped in order to blackmail a Navy captain into transferring $2 million in government funds in exchange for their release or they will be killed. The team face a race against the clock as they battle to save the hostages before it's too late. However, not everything is what it seems.",Thomas J. Wright,Chris Crowe
2,2,The Good Wives Club,"October 5, 2004.","NCIS investigate when the mummified remains of a woman wearing a wedding dress are found in an abandoned Marine home, the room in question resembling something from the 1950s. But evidence is later uncovered which suggests that a serial killer is responsible and that he might have another victim. The team head to Jacksonville Naval Base and start working with the NCIS Agent stationed there as they attempt to find the killer's last target but the stakes are raised when the killer commits suicide, forcing the team into a race against time to save the victim before it's too late.",Dennis Smith,Gil Grant
2,3,Vanished,"October 12, 2004.","A farmer discovers a marine attack helicopter in the middle of his field with the helicopter itself resting inside a crop circle. As a result of both Marine pilots who have completely disappeared, NCIS is called in to investigate and in the process, come across a small town named Smokey Corners in West Virginia. They also discover that the town itself is being ripped apart by a long-running feud, one that has lasted for ten years and has also split the area right down the middle. When a body with connections to one of the missing pilots is found in a burned cabin, the team seek to uncover the truth and find the missing pilot but their investigation's hampered by some of the locals who are unwilling to trust outsiders, believing that the feud is their business although one young woman is willing to help the team at the risk of facing the wrath of her abusive father. The team soon realize that the missing pilot in question has been dragged back into the raging feud and is hellbent on exacting revenge by any means necessary, forcing them to personally step in and resolve things once and for all.","James Whitmore, Jr",George Schenck & Frank Cardea
2,4,Lt. Jane Doe,"October 19, 2004.","A sailor leaving the Norfolk Naval Base after being on a six-month deployment along with his buddy gets a shock when he finds the body of a young woman lying near a toilet area, prompting NCIS to investigate. The woman is dressed in the uniform of a Navy Lt. and it seems like a routine case except for the fact that the victim was never in the Navy. Upon discovering a mark on the victim, Ducky becomes distant after realizing the mark bears a striking resemblance to a victim whose death he investigated ten years ago. The team originally suspect that a man who served in the Navy is responsible but soon discover that someone else is the true killer.",Dan Lerner,Steven Long Mitchell & Craig W. Van Sickle & Donald P. Bellisario & Gil Grant
2,5,The Bone Yard,"October 26, 2004.","The NCIS team arrive at a crime scene after being called to investigate the death of a mobster and despite Marine Corps CID insisting the death was an accident, Gibbs soon realizes that they've stumbled onto a dumping ground, one that the local mob has been using for years to dispose of their victims. Things take a turn when Tobias Fornell reveals that he's being framed by a local mob boss and that one of the FBI agents is actually a double agent or rather a mole working for the mob.",Terrence O'Hara,John C. Kelley
2,6,Terminal Leave,"November 16, 2004.","A shopping trip for an Iraqi veteran and housewife turns deadly when she becomes the victim of an assassination attempt on her life, forcing the NCIS team to step in and protect her and her family from any further attacks but despite the local FBI agent insisting that a local terrorist cell is responsible for the first bomb, Gibbs soon suspects that someone else is behind the second bombing attack on the Commander.",Jeff Woolnough,Roger Director
2,7,Call of Silence,"November 23, 2004.","A former Marine and Medal of Honor recipient who fought in World War II arrives at NCIS HQ, confessing to having murdered his friend in battle on the same night that they were battling against the Japanese, a battle that took place nearly sixty years ago. Facing heat from SECNAV and Commander Faith Coleman, Gibbs and the team work to prove that the Marine is innocent in hopes of saving him from life imprisonment and loss of his Medal of Honor.",Thomas J. Wright,Roger Director
2,8,Heart Break,"November 30, 2004.","The NCIS team are called to investigate the circumstances surrounding the death of a Navy Commander who seemingly burst into flames which raises the theory that it might be a case of spontaneous human combustion. However, the team soon discover that the Commander in question was anything but respective to his ship-mates on the USS Kennedy and that he had a very long list of enemies with a young ensign being among them and who soon becomes the prime suspect while Ducky soon begins to suspect that the doctor who performed the surgery might know the truth of what really happened that night.",Dennis Smith,George Schenck & Frank Cardea
2,9,Forced Entry,"December 7, 2004.","A night in for a Marine's wife turns deadly when an intruder arrives in her home, forcing her to shoot him in self-defense with her suspected attacker being taken to hospital for treatment. NCIS investigate and discover that the woman might have lured the guy to her home under the guise of a date but when the body of a man is found, evidence soon emerges which determines that the man and his ""sister"" are not who they appear to be.",Dennis Smith,Jesse Stern & John C. Kelley
2,10,Chained,"December 14, 2004.","In a hunt for stolen Iraqi antiques, Tony is sent undercover as a prisoner and is attached to one of the suspects. However, things soon deteriorate when the two go missing. The stakes are raised even higher by new evidence suggesting that the man Tony's accompanying is actually a murderer which means that Tony's life might be in danger, forcing the team in a race against time to find Tony and save him before it's too late.",Thomas J. Wright,Frank Military
2,11,Black Water,"January 11, 2005.",NCIS investigate when a Navy officer who went missing two years ago is found dead in a car pulled from a lake with the team digging into the officer's life to find out the truth behind his accident and determine if it was an accident or murder.,Terrence O'Hara,John C. Kelley & Juan Carlos Coto
2,12,Doppelgänger,"January 18, 2005.","The NCIS team investigate the death of a Petty Officer but they soon discover that the Officer faked his own death and that he was involved in an illegal drug prescription ring, having originally used the Navy computer system in the office for his own personal and financial gain. The team work alongside a local civilian law enforcement team whose personalities are an exact match of their own but things take a turn when the Petty Officer they've been looking for is actually found dead, having shot in the back of the head at close range and as such, the team seek to find who was responsible for his murder.",Terrence O'Hara,Jack Bernstein
2,13,The Meat Puzzle,"February 8, 2005.","Having spent months working on the meat puzzle, Ducky soon realizes that the victims were all part of a case that he testified in, a case involving a would-be Medical Examiner. As a result, the team begin guarding Ducky in shifts and seek to find out what's really going on, only to discover that the supposed dead man might not be dead after all. Things get worse when it's discovered that Ducky's next on their list and when Ducky is kidnapped, the team find themselves racing against the clock to save him before Ducky becomes another victim of the murderous family hellbent on exacting revenge on the people involved in the court case.",Thomas J. Wright,Frank Military
2,14,Witness,"February 15, 2005.","While adjusting to her new apartment, a young MIT graduate films the death of a sailor being strangled. The local authorities and even NCIS have doubts concerning the supposed death but McGee insists that the case needs to be investigated further, prompting the team to search the apartment opposite the graduate's for evidence. However, during a stakeout, the graduate is murdered with McGee being left guilt-ridden. While searching for the killer, the team soon discover that the sailor was not who he appeared to be.","James Whitmore, Jr",George Schenck & Frank Cardea
2,15,Caught on Tape,"February 22, 2005.","While on a camping trip with his wife and his best friend, a Marine falls off a cliff to his death with his camera recording everything although it's later damaged. Gibbs discovers that the wife and best friends were having an affair and plans to turn them on one another in hopes of getting their guilt. However, when Abby goes through the damaged footage, the team find a suspect they previously dismissed is responsible for the killing.",Jeff Woolnough,Chris Crowe & Gil Grant & John C. Kelley
2,16,Pop Life,"March 1, 2005.","The team investigate when after a night of partying, a dance club bartender wakes up in bed with a dead female Petty Officer and when the man is found innocent, the team dig deeper to find out who really killed the Petty Officer but all is not what it seems.",Thomas J. Wright,Frank Military
2,17,An Eye for an Eye,"March 22, 2005.","When pair of cobalt blue eyeballs are accidentally delivered to a young woman, NCIS investigate and discover that they were originally intended for a Petty Officer who works in Intelligence with the team suspecting he might be involved. However, the Officer commits suicide during the investigation and the team realize that the dead Officer's lecturer might be responsible, forcing Tony and Kate to head to Paraguay where they soon discover some horrifying secrets concerning the lecturer in question.",Dennis Smith,Steven Kane
2,18,Bikini Wax,"March 29, 2005.","When a Virginia Beach bikini contestant is found in a public bathroom toilet, having drowned, the team believe a stalker might be responsible but when Ducky finds that the victim was pregnant when she died, an unlikely suspect emerges while DiNozzo plans his own version of Spring Break and soon discovers a secret from Kate's past.",Stephen Cragg,David J. North
2,19,Conspiracy Theory,"April 12, 2005.","The NCIS team investigate when a young Petty Officer informs the local authorities that she was attacked by someone wearing battle fatigues and body armor but the Petty Officer's therapist strongly disagrees, instead believing that the woman is suffering from paranoid delusions that were triggered by the death of her fiancée in Iraq the previous month. Unfortunately, the woman is later found dead in her room, having apparently committed suicide by hanging herself with her bed-sheets but Ducky soon discovers that she was actually murdered, sending the team on a quest to find out who was responsible for the woman's death.",Jeff Woolnough,Frank Military
2,20,Red Cell,"April 26, 2005.","During a night of hazing at Waverly University, a young college student finds the body of a dead Marine whose neck has been broken and the team believe they've gotten a suspect for the death. However, when the suspect too turns up dead, having suffered the same fate, the team discover that the two victims were part of an illegal and mysterious college group. In the process of getting to the truth, the team find that someone they've already spoken to is not only responsible for the deaths but for also raping a young college midshipman.",Dennis Smith,Christopher Silber
2,21,Hometown Hero,"May 3, 2005.","When the executor of a petty officer's will and the owner of the unit discover the skeletal remains of a missing girl in the dead man's rented storage unit, NCIS investigate as the Petty Officer who died in Iraq is up for a Silver Star, sending the team into a race against time to clear his name and find out who is responsible while Tony believes his car has been towed but is left completely stunned when he soon discovers that it has actually been stolen.","James Whitmore, Jr",George Schenck & Frank Cardea
2,22,SWAK,"May 10, 2005.","When Tony opens a mysterious letter that releases a white powder into the air, NCIS activates bioterrorism protocols and evacuates the building due to the crisis. With Tony and Kate in an isolation unit at Bethesda Naval Hospital, Gibbs, McGee, Ducky and Abby, along with Agent Cassie Yates, learn that the powder was a genetically-altered form of plague, and rush to both find a cure and locate the person responsible for sending the deadly letter.",Dennis Smith,Donald P. Bellisario
