Season,Episode,Title,Airdate,Synopsis,Directed by,Written by
1,1,Yankee White,"September 23, 2003.","NCIS investigate the death of a Navy Commander who died after having lunch with the President of the United States on board Air Force One and soon realize that a terrorist may be responsible. Series Premiere and also the first ever episode of NCIS as a stand-alone series. This episode marks the introduction of Secret Service Agent Caitlin Todd, FBI Agent Tobias Fornell, ME assistant Gerald Jackson, and the Mysterious Red-Head.",Donald P. Bellisario,Donald P. Bellisario & Don McGill
1,2,Hung Out to Dry,"September 30, 2003.","The NCIS team investigate the death of a Marine who died during a night-training jump but the team discover that it may actually be a murder while Kate Todd adjusts to joining the NCIS team. This episode also marks a crossover with NCIS's parent series, JAG and marks the first appearance of Bud Roberts Jr..",Alan J. Levi,Don McGill
1,3,Seadog,"October 7, 2003.","The bodies of two drug dealers and a Navy Commander wash up on a beach, prompting NCIS to investigate where they soon realize that something else much worse than drug smuggling is going on.",Bradford May,John C. Kelley & Donald P. Bellisario
1,4,The Immortals,"October 14, 2003.","The NCIS team investigate when the body of a young Seaman is discovered in the ocean and evidence is soon uncovered, suggesting that a biological attack may occur on the U.S.S. Foster, the Navy ship where the Seaman was stationed.",Alan J. Levi,Darcy Meyers
1,5,The Curse,"October 28, 2003.","The mummified remains of a Navy Lieutenant are discovered in a sealed cargo pod, prompting NCIS to investigate. As the case progresses, Kate develops an emotional bond towards the victim's family and vows to ensure that the family get the Lieutenant's death benefits.",Terrence O'Hara,Don McGill & Jeff Vlaming & Donald P. Bellisario
1,6,High Seas,"November 4, 2003.",A former member of the Major Case Response Team contacts Gibbs for help after two sailors stationed on board the USS Enterprise overdose meth despite the sailors claiming never to have taken the drug. This episode marks the debut appearance of NCIS Special Agent Stan Burley.,Dennis Smith,Jeff Vlaming & Larry Moskowitz
1,7,Sub Rosa,"November 18, 2003.","When a badly disfigured body is discovered on the Norfolk Naval Base, NCIS investigate and work with a young Agent with the team soon discovering that the personnel of the U.S.S. Philadelphia may be in grave danger from a possible biological attack. This episode marks the debut appearance of NCIS Special Agent Timothy McGee.",Michael Zinberg,George Schenck & Frank Cardea
1,8,Minimum Security,"November 25, 2003.","A Petty Officer's death and the discovery that he had emeralds inside his stomach sends the NCIS team to Guantanamo Bay, Cuba as they seek to find out what happened while also attempting to stop a possible terrorist plot as well.",Ian Toynton,"Philip DeGuere, Jr. & Donald P. Bellisario"
1,9,Marine Down,"December 16, 2003.",The team investigate when a supposedly dead Marine contacts his wife with the team soon discovering that a rogue CIA agent is responsible.,Dennis Smith,John C. Kelley
1,10,Left for Dead,"January 6, 2004.","A woman digs herself out of her grave in Rock Creek Park, claiming to have knowledge of a bomb on board a Navy ship. As the team try to piece together what happened as well as the truth of Jane Doe's statements, Kate takes the woman under her wing, unaware that the woman has plans that could end terribly for everyone.",James Whitmore Jr.,Don McGill & Donald P. Bellisario
1,11,Eye Spy,"January 13, 2004.","NCIS investigate when the body of a Navy Commander is found on the beach and as they investigate, the team uncover a plot of betrayal and murder.",Alan J. Levi,George Schenck & Frank Cardea & Dana Coen
1,12,My Other Left Foot,"February 3, 2004.","NCIS investigate when the single leg of a Marine is discovered in a dumpster is Clarksburg, West Virginia and they meet a doctor and her daughter who may know more than they're letting on.",Jeff Woolnough,Jack Bernstein
1,13,"One Shot, One Kill","February 10, 2004.",NCIS race to stop a sniper from targeting and killing various Marine recruiters in the Washington D.C. area.,Peter Ellis,Gil Grant
1,14,The Good Samaritan,"February 17, 2004.",NCIS investigate the death of a Commander in Grayson County and soon discover that they're not only dealing with one serial killer but two..,Alan J. Levi,Jack Bernstein
1,15,Enigma,"February 24, 2004.","Gibbs investigates when he discovers that his former Commanding Officer is being hunted by the FBI and as the NCIS team investigate, they soon find themselves uncovering a possible conspiracy that is connected to the death of an FBI agent.",Thomas J. Wright,John C. Kelley
1,16,Bête Noire,"March 2, 2004.","NCIS face a battle on their hands when an unknown terrorist invades the morgue and takes Ducky, Gerald and eventually Kate hostage.",Peter Ellis,Donald P. Bellisario
1,17,The Truth Is Out There,"March 16, 2004.",NCIS investigate the death of a Petty Officer and discover that one of the victim's friends may be the true killer.,Dennis Smith,Jack Bernstein
1,18,UnSEALeD,"April 6, 2004.",NCIS investigate when a former Navy SEAL convicted of killing his wife escapes from Leavenworth.,Peter Ellis,Thomas L. Moran
1,19,Dead Man Talking,"April 27, 2004.",NCIS investigate when Agent Christopher Pacci is murdered while working on a cold case.,Dennis Smith,George Schenck & Frank Cardea
1,20,Missing,"May 4, 2004.",NCIS are called to investigate the disappearance of a Marine and soon discover that an unlikely person has become a serial killer hellbent on revenge. This also marks the debut appearance of James Palmer.,Jeff Woolnough,John C. Kelley
1,21,Split Decision,"May 11, 2004.",The NCIS investigate the death of a Marine and finds themselves caught in an operation that ATF are carrying out.,Terrence O'Hara,Bob Gookin
1,22,A Weak Link,"May 18, 2004.",NCIS investigate the death of a Lieutenant and a Navy SEAL and find themselves under pressure to wrap up the investigation as soon as possible due to the fact that the dead Lieutenant's team are due to embark on a hostage rescue situation.,Alan J. Levi,Jack Bernstein
1,23,Reveille,"May 2, 2004.","The mysterious terrorist from Bête Noire (episode) returns, leading to consequences for one member of the NCIS team.",Thomas J. Wright,Donald P. Bellisario
2,1,See No Evil,"September 28, 2004.","A Navy Captain's wife and blind daughter are kidnapped and held hostage, forcing NCIS to tackle the case of bringing both of the hostages home safely while also trying to find out who is responsible. This is the Season 2 premiere episode.",Thomas J. Wright,Chris Crowe
2,2,The Good Wives Club,"October 5, 2004.",NCIS investigate when the mummified remains of a woman are found and soon discover that a serial killer may be responsible.,Dennis Smith,Gil Grant
2,3,Vanished,"October 12, 2004.","A Marine pilot goes missing, forcing NCIS to investigate and in the process, they discover a ten year old feud that is slowly destroying the small town of Smokey Corners, West Virginia.",James Whitmore Jr.,George Schenck & Frank Cardea
2,4,Lt. Jane Doe,"October 19, 2004.",The body of a Navy Lieutenant is discovered but things hit a snag when the NCIS team learn that she is not actually a Commander while the nature of the case causes Ducky begin to become distant from the team.,Dan Lerner,Steven Long Mitchell & Craig W. Van Sickle & Donald P. Bellisario & Gil Grant
2,5,The Bone Yard,"October 26, 2004.",NCIS investigate the death of an undercover FBI agent and discover an agent of the FBI may be a mole for a Mafia crime boss.,Terrence O'Hara,John C. Kelley
2,6,Terminal Leave,"November 16, 2004.",NCIS and the FBI must work together to find who is responsible for the attempted assassination of a Naval Commander and Iraqi veteran.,Jeff Woolnough,Roger Director
2,7,Call of Silence,"November 23, 2004.",An elderly veteran who served in World War 2 arrives in to NCIS to confess that he killed his best friend. It now falls to the NCIS team to figure out the truth before JAG gets involved.,Thomas J. Wright,Roger Director
2,8,Heart Break,"November 20, 2004.",The NCIS team investigate the death of a Naval Commander and they soon discover that the victim was not very well liked on the USS Kennedy while NCIS Special Agent Paula Cassidy returns to help the team with the case.,Dennis Smith,George Schenck & Frank Cardea
